Date,BBB
23-08-2017,10.6228
24-08-2017,10.63
25-08-2017,10.63
28-08-2017,10.6637
29-08-2017,10.6353
30-08-2017,10.6294
31-08-2017,10.6277
01-09-2017,10.583
04-09-2017,10.6025
05-09-2017,10.6001
06-09-2017,10.6039
07-09-2017,10.6161
08-09-2017,10.5599
11-09-2017,10.5721
12-09-2017,10.5683
13-09-2017,10.5946
14-09-2017,10.6009
15-09-2017,10.6125
18-09-2017,10.6235
19-09-2017,10.6126
20-09-2017,10.5988
21-09-2017,10.6875
22-09-2017,10.6773
25-09-2017,10.6493
26-09-2017,10.6971
27-09-2017,10.7026
28-09-2017,10.6816
29-09-2017,10.721
02-10-2017,10.721
03-10-2017,11.0977
04-10-2017,11.1419
05-10-2017,11.1766
06-10-2017,11.2045
09-10-2017,11.2341
10-10-2017,11.1918
11-10-2017,11.2028
12-10-2017,11.2102
13-10-2017,11.1878
16-10-2017,11.1893
17-10-2017,11.2241
18-10-2017,11.2275
19-10-2017,11.2275
20-10-2017,11.2275
23-10-2017,11.2748
24-10-2017,11.2526
25-10-2017,11.2832
26-10-2017,11.2685
27-10-2017,11.2845
30-10-2017,11.3202
31-10-2017,11.3136
01-11-2017,11.2897
02-11-2017,11.2559
03-11-2017,11.2554
06-11-2017,11.2956
07-11-2017,11.334
08-11-2017,11.3497
09-11-2017,11.3324
10-11-2017,11.3534
13-11-2017,11.3714
14-11-2017,11.4472
15-11-2017,11.4079
16-11-2017,11.4583
17-11-2017,11.4495
20-11-2017,11.3277
21-11-2017,11.3376
22-11-2017,11.406
23-11-2017,11.4316
24-11-2017,11.439
27-11-2017,11.4829
28-11-2017,11.4648
29-11-2017,11.4633
30-11-2017,11.4863
01-12-2017,11.4863
04-12-2017,11.4914
05-12-2017,11.4812
06-12-2017,11.4509
07-12-2017,11.47
8-12-2017,11.5112
11-12-2017,11.5686
12-12-2017,11.573
13-12-2017,11.5745
14-12-2017,11.5305
15-12-2017,11.5285
18-12-2017,11.5666
19-12-2017,11.5639
20-12-2017,11.5977
21-12-2017,11.3297
22-12-2017,11.4274
25-12-2017,11.4274
26-12-2017,11.4363
27-12-2017,11.4049
28-12-2017,11.5834
29-12-2017,11.4732
01-01-2018,11.4016
02-01-2018,11.5369
03-01-2018,11.523
04-01-2018,11.5194
05-01-2018,11.047
08-01-2018,11.084
09-01-2018,11.1139
10-01-2018,11.2198
11-01-2018,11.2172
12-01-2018,11.2366
15-01-2018,11.2271
16-01-2018,11.3406
17-01-2018,11.1657
18-01-2018,11.2038
