Date,GSec
23-08-2017,6.538
24-08-2017,6.538
25-08-2017,6.538
28-08-2017,6.568
29-08-2017,6.533
30-08-2017,6.537
31-08-2017,6.525
01-09-2017,6.483
04-09-2017,6.496
05-09-2017,6.5
06-09-2017,6.507
07-09-2017,6.516
08-09-2017,6.543
11-09-2017,6.562
12-09-2017,6.554
13-09-2017,6.586
14-09-2017,6.59
15-09-2017,6.597
18-09-2017,6.61
19-09-2017,6.592
20-09-2017,6.577
21-09-2017,6.675
22-09-2017,6.663
25-09-2017,6.619
26-09-2017,6.669
27-09-2017,6.667
28-09-2017,6.641
29-09-2017,6.663
02-10-2017,6.663
03-10-2017,6.648
04-10-2017,6.702
05-10-2017,6.729
06-10-2017,6.757
09-10-2017,6.78
10-10-2017,6.741
11-10-2017,6.741
12-10-2017,6.753
13-10-2017,6.734
16-10-2017,6.734
17-10-2017,6.763
18-10-2017,6.76
19-10-2017,6.76
20-10-2017,6.76
23-10-2017,6.796
24-10-2017,6.775
25-10-2017,6.811
26-10-2017,6.799
27-10-2017,6.805
30-10-2017,6.885
31-10-2017,6.862
01-11-2017,6.892
02-11-2017,6.861
03-11-2017,6.858
06-11-2017,6.893
07-11-2017,6.927
08-11-2017,6.94
09-11-2017,6.931
10-11-2017,6.957
13-11-2017,6.972
14-11-2017,7.052
15-11-2017,7.017
16-11-2017,7.062
17-11-2017,7.049
20-11-2017,6.89
21-11-2017,6.895
22-11-2017,6.958
23-11-2017,6.988
24-11-2017,7.003
27-11-2017,7.056
28-11-2017,7.03
29-11-2017,7.028
30-11-2017,7.059
01-12-2017,7.059
04-12-2017,7.083
05-12-2017,7.06
06-12-2017,7.031
07-12-2017,7.055
08-12-2017,7.09
11-12-2017,7.175
12-12-2017,7.185
13-12-2017,7.173
14-12-2017,7.131
15-12-2017,7.134
18-12-2017,7.181
19-12-2017,7.178
20-12-2017,7.219
21-12-2017,7.214
22-12-2017,7.271
25-12-2017,7.271
26-12-2017,7.275
27-12-2017,7.219
28-12-2017,7.396
29-12-2017,7.326
01-01-2018,7.337
02-01-2018,7.386
03-01-2018,7.32
04-01-2018,7.333
05-01-2018,7.288
08-01-2018,7.344
09-01-2018,7.367
10-01-2018,7.26
11-01-2018,7.264
12-01-2018,7.282
15-01-2018,7.269
16-01-2018,7.383
17-01-2018,7.222
18-01-2018,7.262
19-01-2018,7.295
22-01-2018,7.264
23-01-2018,7.253
24-01-2018,7.276
25-01-2018,7.307
26-01-2018,7.307
29-01-2018,7.442
30-01-2018,7.434
31-01-2018,7.43
01-02-2018,7.605
02-02-2018,7.562
05-02-2018,7.605
06-02-2018,7.568
07-02-2018,7.53
08-02-2018,7.469
09-02-2018,7.49
12-02-2018,7.499
13-02-2018,7.499
14-02-2018,7.491
15-02-2018,7.573
16-02-2018,7.579
19-02-2018,7.579
20-02-2018,7.673
21-02-2018,7.71
22-02-2018,7.746
23-02-2018,7.667
26-02-2018,7.688
27-02-2018,7.666
28-02-2018,7.726
01-03-2018,7.741
02-03-2018,7.741
05-03-2018,7.776
06-03-2018,7.779
07-03-2018,7.679
08-03-2018,7.657
09-03-2018,7.671
12-03-2018,7.63
13-03-2018,7.653
14-03-2018,7.685
15-03-2018,7.633
16-03-2018,7.563
19-03-2018,7.607
20-03-2018,7.618
21-03-2018,7.583
22-03-2018,7.558
23-03-2018,7.557
26-03-2018,7.623
27-03-2018,7.333
28-03-2018,7.399
29-03-2018,7.399
30-03-2018,7.399
02-04-2018,7.399
03-04-2018,7.332
04-04-2018,7.294
05-04-2018,7.127
06-04-2018,7.175
09-04-2018,7.226
10-04-2018,7.375
11-04-2018,7.542
12-04-2018,7.468
13-04-2018,7.429
16-04-2018,7.49
17-04-2018,7.489
18-04-2018,7.535
19-04-2018,7.63
20-04-2018,7.718
23-04-2018,7.74
24-04-2018,7.686
25-04-2018,7.738
26-04-2018,7.756
27-04-2018,7.767
30-04-2018,7.767
01-05-2018,7.767
02-05-2018,7.735
03-05-2018,7.734
04-05-2018,7.728
07-05-2018,7.622
08-05-2018,7.581
09-05-2018,7.709
10-05-2018,7.714
11-05-2018,7.727
14-05-2018,7.825
15-05-2018,7.905
16-05-2018,7.901
17-05-2018,7.881
18-05-2018,7.835
21-05-2018,7.809
22-05-2018,7.812
23-05-2018,7.849
24-05-2018,7.868
25-05-2018,7.794
28-05-2018,7.738
29-05-2018,7.756
30-05-2018,7.782
31-05-2018,7.826
01-06-2018,7.848
04-06-2018,7.876
05-06-2018,7.834
06-06-2018,7.917
07-06-2018,7.993
08-06-2018,7.947
11-06-2018,7.962
12-06-2018,7.966
13-06-2018,7.934
14-06-2018,7.945
15-06-2018,7.889
18-06-2018,7.877
19-06-2018,7.864
20-06-2018,7.827
21-06-2018,7.774
22-06-2018,7.82
25-06-2018,7.828
26-06-2018,7.829
27-06-2018,7.872
28-06-2018,7.935
29-06-2018,7.901
02-07-2018,7.912
03-07-2018,7.883
04-07-2018,7.852
05-07-2018,7.897
06-07-2018,7.87
09-07-2018,7.891
10-07-2018,7.899
11-07-2018,7.872
12-07-2018,7.781
13-07-2018,7.793
16-07-2018,7.801
17-07-2018,7.745
18-07-2018,7.752
19-07-2018,7.783
20-07-2018,7.786
23-07-2018,7.81
24-07-2018,7.783
25-07-2018,7.786
26-07-2018,7.76
27-07-2018,7.78
30-07-2018,7.79
31-07-2018,7.773
01-08-2018,7.701
02-08-2018,7.721
03-08-2018,7.763
06-08-2018,7.768
07-08-2018,7.786
08-08-2018,7.781
09-08-2018,7.745
10-08-2018,7.754
13-08-2018,7.823
14-08-2018,7.818
15-08-2018,7.818
16-08-2018,7.861
17-08-2018,7.861
20-08-2018,7.838
21-08-2018,7.828
22-08-2018,7.828
23-08-2018,7.879
24-08-2018,7.873
27-08-2018,7.894
28-08-2018,7.896
29-08-2018,7.918
30-08-2018,7.931
31-08-2018,7.952
03-09-2018,7.999
04-09-2018,8.062
05-09-2018,8.05
06-09-2018,8.056
07-09-2018,8.029
10-09-2018,8.158
11-09-2018,8.181
12-09-2018,8.134
13-09-2018,8.134
14-09-2018,8.127
17-09-2018,8.099
18-09-2018,8.139
19-09-2018,8.072
20-09-2018,8.072
21-09-2018,8.077
24-09-2018,8.122
25-09-2018,8.126
26-09-2018,8.072
27-09-2018,8.027
28-09-2018,8.024
01-10-2018,7.988
02-10-2018,7.988
03-10-2018,8.112
04-10-2018,8.157
05-10-2018,8.025
