Date,Price,Return
23-08-2017,9852.5,0.89
24-08-2017,9857.05,0.05
28-08-2017,9912.8,0.57
29-08-2017,9796.05,-1.18
30-08-2017,9884.4,0.9
31-08-2017,9917.9,0.34
01-09-2017,9974.4,0.57
04-09-2017,9912.85,-0.62
05-09-2017,9952.2,0.4
06-09-2017,9916.2,-0.36
07-09-2017,9929.9,0.14
08-09-2017,9934.8,0.05
11-09-2017,10006.05,0.72
12-09-2017,10093.05,0.87
13-09-2017,10079.3,-0.14
14-09-2017,10086.6,0.07
15-09-2017,10085.4,-0.01
18-09-2017,10153.1,0.67
19-09-2017,10147.55,-0.05
20-09-2017,10141.15,-0.06
21-09-2017,10121.9,-0.19
22-09-2017,9964.4,-1.56
25-09-2017,9872.6,-0.92
26-09-2017,9871.5,-0.01
27-09-2017,9735.75,-1.38
28-09-2017,9768.95,0.34
29-09-2017,9788.6,0.2
03-10-2017,9859.5,0.72
04-10-2017,9914.9,0.56
05-10-2017,9888.7,-0.26
06-10-2017,9979.7,0.92
9-10-2017,9988.75,0.09
10-10-2017,10016.95,0.28
11-10-2017,9984.8,-0.32
12-10-2017,10096.4,1.12
13-10-2017,10167.45,0.7
16-10-2017,10230.85,0.62
17-10-2017,10234.45,0.04
18-10-2017,10210.85,-0.23
23-10-2017,10184.85,0.38
24-10-2017,10207.7,0.22
25-10-2017,10295.35,0.86
26-10-2017,10343.8,0.47
27-10-2017,10323.05,-0.2
30-10-2017,10363.65,0.39
31-10-2017,10335.3,-0.27
01-11-2017,10440.5,1.02
02-11-2017,10423.8,-0.16
03-11-2017,10452.5,0.28
06-11-2017,10451.8,-0.01
07-11-2017,10350.15,-0.97
8-11-2017,10303.15,-0.45
09-11-2017,10308.95,0.06
10-11-2017,10321.75,0.12
13-11-2017,10224.95,-0.94
14-11-2017,10186.6,-0.38
15-11-2017,10118.05,-0.67
16-11-2017,10214.75,0.96
17-11-2017,10283.6,0.67
20-11-2017,10298.75,0.15
21-11-2017,10326.9,0.27
22-11-2017,10342.3,0.15
23-11-2017,10348.75,0.06
24-11-2017,10389.7,0.4
27-11-2017,10399.55,0.09
28-11-2017,10370.25,-0.28
29-11-2017,10361.3,-0.09
30-11-2017,10226.55,-1.3
04-12-2017,10127.75,0.06
5-12-2017,10118.25,-0.09
6-12-2017,10044.1,-0.73
7-12-2017,10166.7,1.22
08-12-2017,10265.65,0.97
11-12-2017,10322.25,0.55
12-12-2017,10240.15,-0.8
13-12-2017,10192.95,-0.46
14-12-2017,10252.1,0.58
15-12-2017,10333.25,0.79
18-12-2017,10388.75,0.54
19-12-2017,10463.2,0.72
20-12-2017,10444.2,-0.18
21-12-2017,10440.3,-0.04
22-12-2017,10493,0.5
26-12-2017,10531.5,0.37
27-12-2017,10490.75,-0.39
28-12-2017,10477.9,-0.12
29-12-2017,10530.7,0.5
01-01-2018,10435.55,-0.9
02-01-2018,10442.2,0.06
03-01-2018,10443.2,0.01
04-01-2018,10504.8,0.59
05-01-2018,10558.85,0.51
