Date,TBill
23-08-2017,6.136
24-08-2017,6.102
25-08-2017,6.102
28-08-2017,6.12
29-08-2017,6.121
30-08-2017,6.124
31-08-2017,6.088
01-09-2017,6.081
04-09-2017,6.093
05-09-2017,6.086
06-09-2017,6.08
07-09-2017,6.077
08-09-2017,6.081
11-09-2017,6.072
12-09-2017,6.081
13-09-2017,6.078
14-09-2017,6.07
15-09-2017,6.071
18-09-2017,6.104
19-09-2017,6.091
20-09-2017,6.097
21-09-2017,6.088
22-09-2017,6.089
25-09-2017,6.095
26-09-2017,6.097
27-09-2017,6.1
28-09-2017,6.085
29-09-2017,6.077
03-10-2017,6.104
04-10-2017,6.082
05-10-2017,6.076
06-10-2017,6.072
09-10-2017,6.077
10-10-2017,6.075
11-10-2017,6.069
12-10-2017,6.069
13-10-2017,6.068
16-10-2017,6.081
17-10-2017,6.091
18-10-2017,6.091
23-10-2017,6.086
24-10-2017,6.089
25-10-2017,6.107
26-10-2017,6.106
27-10-2017,6.102
30-10-2017,6.085
31-10-2017,6.099
01-11-2017,6.109
02-11-2017,6.096
03-11-2017,6.093
06-11-2017,6.114
07-11-2017,6.109
08-11-2017,6.098
09-11-2017,6.096
10-11-2017,6.094
13-11-2017,6.099
14-11-2017,6.115
15-11-2017,6.109
16-11-2017,6.111
17-11-2017,6.098
20-11-2017,6.096
21-11-2017,6.106
22-11-2017,6.114
23-11-2017,6.111
24-11-2017,6.113
27-11-2017,6.122
28-11-2017,6.126
29-11-2017,6.115
30-11-2017,6.124
01-12-2017,6.124
04-12-2017,6.122
05-12-2017,6.134
06-12-2017,6.116
07-12-2017,6.116
08-12-2017,6.115
11-12-2017,6.123
12-12-2017,6.143
13-12-2017,6.14
14-12-2017,6.129
15-12-2017,6.145
18-12-2017,6.154
19-12-2017,6.157
20-12-2017,6.173
21-12-2017,6.167
22-12-2017,6.2
26-12-2017,6.22
27-12-2017,6.205
28-12-2017,6.204
29-12-2017,6.2
01-01-2018,6.153
02-01-2018,6.171
03-01-2018,6.161
04-01-2018,6.274
05-01-2018,6.27
08-01-2018,6.265
09-01-2018,6.27
10-01-2018,6.279
11-01-2018,6.298
12-01-2018,6.3
15-01-2018,6.313
16-01-2018,6.312
17-01-2018,6.318
18-01-2018,6.347
19-01-2018,6.358
22-01-2018,6.356
23-01-2018,6.37
24-01-2018,6.364
25-01-2018,6.391
29-01-2018,6.394
30-01-2018,6.397
31-01-2018,6.402
01-02-2018,6.399
02-02-2018,6.408
05-02-2018,6.409
06-02-2018,6.398
07-02-2018,6.404
08-02-2018,6.365
09-02-2018,6.37
12-02-2018,6.353
13-02-2018,6.353
15-02-2018,6.319
16-02-2018,6.316
20-02-2018,6.323
21-02-2018,6.327
22-02-2018,6.334
23-02-2018,6.299
26-02-2018,6.304
27-02-2018,6.267
28-02-2018,6.279
01-03-2018,6.322
05-03-2018,6.329
06-03-2018,6.288
07-03-2018,6.287
08-03-2018,6.242
09-03-2018,6.228
12-03-2018,6.26
13-03-2018,6.261
14-03-2018,6.218
15-03-2018,6.157
16-03-2018,6.154
19-03-2018,6.134
20-03-2018,6.128
21-03-2018,6.169
22-03-2018,6.137
23-03-2018,6.135
26-03-2018,6.15
