Date,VIX
23-08-2017,13.1825
24-08-2017,12.5725
28-08-2017,12.64
29-08-2017,13.5425
30-08-2017,12.8875
31-08-2017,11.9525
01-09-2017,11.675
04-09-2017,13.165
05-09-2017,12.8875
06-09-2017,13.12
07-09-2017,13.0075
08-09-2017,12.9625
11-09-2017,12.36
12-09-2017,11.7575
13-09-2017,11.755
14-09-2017,11.47
15-09-2017,11.6775
18-09-2017,11.4425
19-09-2017,11.465
20-09-2017,11.6325
21-09-2017,11.6325
22-09-2017,12.81
25-09-2017,13.34
26-09-2017,12.9275
27-09-2017,13.8625
28-09-2017,13.1725
29-09-2017,12.485
03-10-2017,12.46
04-10-2017,11.8
05-10-2017,11.71
06-10-2017,11.1175
9-10-2017,11.3925
10-10-2017,11.1125
11-10-2017,11.73
12-10-2017,11.0425
13-10-2017,11.2625
16-10-2017,11.31
17-10-2017,11.61
18-10-2017,11.54
19-10-2017,12.395
23-10-2017,12.325
24-10-2017,11.59
25-10-2017,11.76
26-10-2017,11.6175
27-10-2017,11.475
30-10-2017,12.1125
31-10-2017,12.44
01-11-2017,12.1375
02-11-2017,12.005
03-11-2017,11.91
06-11-2017,13.0225
07-11-2017,13.2375
8-11-2017,13.61
09-11-2017,13.2675
10-11-2017,13.475
13-11-2017,14.045
14-11-2017,14.165
15-11-2017,14.265
16-11-2017,13.4625
17-11-2017,13.7125
20-11-2017,13.4325
21-11-2017,13.715
22-11-2017,14.0375
23-11-2017,13.865
24-11-2017,13.5125
27-11-2017,13.03
28-11-2017,13.1475
29-11-2017,13.06
30-11-2017,13.55
01-12-2017,14.795
04-12-2017,14.855
5-12-2017,15.0075
6-12-2017,15.0875
7-12-2017,14.2725
08-12-2017,13.6725
11-12-2017,14.1475
12-12-2017,15.2625
13-12-2017,15.945
14-12-2017,16.4075
15-12-2017,14.94
18-12-2017,13.115
19-12-2017,12.1875
20-12-2017,12.185
21-12-2017,12.085
22-12-2017,11.5875
26-12-2017,12.0525
27-12-2017,12.4925
28-12-2017,12.2975
29-12-2017,12.67
01-01-2018,13.3525
02-01-2018,13.685
03-01-2018,13.6225
04-01-2018,13.415
05-01-2018,13.1125
08-01-2018,13.735
09-01-2018,13.8475
10-01-2018,14.035
11-01-2018,14.0125
12-01-2018,13.7325
15-01-2018,14.305
16-01-2018,14.085
17-01-2018,13.86
18-01-2018,13.96
19-01-2018,13.9825
22-01-2018,15.3925
23-01-2018,16.225
24-01-2018,18.04
25-01-2018,17.5075
29-01-2018,17.8875
30-01-2018,16.415
31-01-2018,15.93
01-02-2018,14.1075
02-02-2018,15.25
05-02-2018,16.0525
06-02-2018,20.015
07-02-2018,19.465
08-02-2018,17.7725
09-02-2018,19.23
12-02-2018,17.8825
14-02-2018,17.185
15-02-2018,16.315
16-02-2018,16.3775
19-02-2018,16.6675
20-02-2018,16.8675
21-02-2018,15.92
22-02-2018,14.8325
23-02-2018,14.2025
26-02-2018,13.695
27-02-2018,13.9225
28-02-2018,13.805
01-03-2018,14.0725
05-03-2018,15.395
06-03-2018,16.245
07-03-2018,15.7
08-03-2018,14.585
09-03-2018,14.525
12-03-2018,14.4925
13-03-2018,14.4625
14-03-2018,14.3625
